team_id,team_name,season_id,season_name,season_year,matches_played,overall_win_pct,overall_avg_goals_per_match,overall_avg_scored,overall_avg_conceded,overall_btts_pct,overall_clean_sheet_pct,overall_avg_xg,overall_avg_xga,home_matches_played,home_win_pct,home_avg_goals_per_match,home_avg_scored,home_avg_conceded,home_btts_pct,home_clean_sheet_pct,home_avg_xg,home_avg_xga,away_matches_played,away_win_pct,away_avg_goals_per_match,away_avg_scored,away_avg_conceded,away_btts_pct,away_clean_sheet_pct,away_avg_xg,away_avg_xga
7913,KS Lechia Gdańsk,61236,Ekstraklasa 24/25,24/25,32,31.3,1.34,1.34,1.75,65.6,18.8,1.49,1.91,16,43.8,2.69,1.25,1.44,56.3,25.0,1.74,1.76,16,18.8,3.50,1.44,2.06,75.0,12.5,1.23,2.05
7691,Jagiellonia Białystok,61236,Ekstraklasa 24/25,24/25,33,48.5,1.64,1.64,1.27,63.6,30.3,1.68,1.49,16,50.0,3.13,1.94,1.19,68.8,31.3,1.85,1.29,17,47.1,2.71,1.35,1.35,58.8,29.4,1.52,1.67
38732,Stal Mielec,61236,Ekstraklasa 24/25,24/25,33,21.2,1.15,1.15,1.67,63.6,12.1,1.66,1.63,16,31.3,2.44,1.13,1.31,50.0,25.0,1.91,1.24,17,11.8,3.18,1.18,2.00,76.5,0.0,1.42,1.99
5065,MKS Korona Kielce,61236,Ekstraklasa 24/25,24/25,33,33.3,1.12,1.12,1.27,60.6,24.2,1.34,1.47,17,47.1,2.53,1.29,1.24,52.9,29.4,1.57,1.48,16,18.8,2.25,0.94,1.31,68.8,18.8,1.10,1.47
7915,Motor Lublin,61236,Ekstraklasa 24/25,24/25,32,40.6,1.44,1.44,1.78,59.4,18.8,1.61,1.74,16,43.8,3.13,1.63,1.50,62.5,25.0,1.62,1.62,16,37.5,3.31,1.25,2.06,56.3,12.5,1.60,1.85
3108,Śląsk Wrocław,61236,Ekstraklasa 24/25,24/25,33,18.2,1.12,1.12,1.58,57.6,12.1,1.44,1.49,16,25.0,2.56,1.25,1.31,68.8,12.5,1.48,1.51,17,11.8,2.82,1.00,1.82,47.1,11.8,1.40,1.48
38729,Puszcza Niepołomice,61236,Ekstraklasa 24/25,24/25,32,18.8,1.09,1.09,1.84,56.3,18.8,1.24,1.95,16,25.0,3.31,1.56,1.75,68.8,18.8,1.63,2.02,16,12.5,2.56,0.63,1.94,43.8,18.8,0.85,1.88
3121,Lech Poznań,61236,Ekstraklasa 24/25,24/25,33,63.6,2.00,2.00,0.94,51.5,39.4,1.68,1.29,16,87.5,3.50,2.75,0.75,56.3,37.5,2.06,1.17,17,41.2,2.41,1.29,1.12,47.1,41.2,1.32,1.40
3113,Zagłębie Lubin,61236,Ekstraklasa 24/25,24/25,33,30.3,1.00,1.00,1.48,51.5,18.2,1.45,1.56,17,35.3,2.53,1.12,1.41,52.9,23.5,1.41,1.59,16,25.0,2.44,0.88,1.56,50.0,12.5,1.48,1.54
3112,GKS Katowice,61236,Ekstraklasa 24/25,24/25,33,42.4,1.45,1.45,1.36,51.5,27.3,1.62,1.80,16,50.0,2.38,1.44,0.94,56.3,37.5,1.47,1.67,17,35.3,3.24,1.47,1.76,47.1,17.6,1.76,1.93
