team_id,team_name,season_id,season_name,season_year,matches_played,avg_possession_pct,total_accurate_passes,total_passes,accurate_passes_per_game,total_passes_per_game,pass_accuracy_pct,total_accurate_long_balls,accurate_long_balls_per_game,total_accurate_crosses,accurate_crosses_per_game,total_final_third_entries,final_third_entries_per_game,total_touches_in_box,touches_in_box_per_game,total_dispossessed,dispossessed_per_game,total_throw_ins,throw_ins_per_game,total_goal_kicks,goal_kicks_per_game
3106,Legia Warszawa,29222,Ekstraklasa 20/21,20/21,30,57.8,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,636,21.20,206,6.87
3121,Lech Poznań,29222,Ekstraklasa 20/21,20/21,30,56.6,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,596,19.87,221,7.37
3117,Pogoń Szczecin,29222,Ekstraklasa 20/21,20/21,30,55.0,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,563,18.77,209,6.97
3110,Górnik Zabrze,29222,Ekstraklasa 20/21,20/21,30,51.9,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,709,23.63,205,6.83
7918,Piast Gliwice,29222,Ekstraklasa 20/21,20/21,30,51.0,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,678,22.60,228,7.60
7913,KS Lechia Gdańsk,29222,Ekstraklasa 20/21,20/21,30,50.3,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,669,22.30,259,8.63
3111,Wisła Kraków,29222,Ekstraklasa 20/21,20/21,30,49.7,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,699,23.30,262,8.73
3122,Wisła Płock,29222,Ekstraklasa 20/21,20/21,30,49.5,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,772,25.73,209,6.97
35268,Raków Częstochowa,29222,Ekstraklasa 20/21,20/21,30,49.3,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,651,21.70,236,7.87
3113,Zagłębie Lubin,29222,Ekstraklasa 20/21,20/21,30,48.4,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,671,22.37,270,9.00
3108,Śląsk Wrocław,29222,Ekstraklasa 20/21,20/21,30,48.0,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,613,20.43,249,8.30
4901,Cracovia,29222,Ekstraklasa 20/21,20/21,30,47.8,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,651,21.70,269,8.97
7919,Podbeskidzie Bielsko-Biała,29222,Ekstraklasa 20/21,20/21,30,47.6,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,618,20.60,271,9.03
7691,Jagiellonia Białystok,29222,Ekstraklasa 20/21,20/21,30,47.6,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,590,19.67,295,9.83
38732,Stal Mielec,29222,Ekstraklasa 20/21,20/21,30,45.5,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,600,20.00,287,9.57
7922,Warta Poznań,29222,Ekstraklasa 20/21,20/21,30,44.2,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,670,22.33,273,9.10
3121,Lech Poznań,23666,Ekstraklasa 19/20,19/20,37,55.9,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,822,22.22,314,8.49
3106,Legia Warszawa,23666,Ekstraklasa 19/20,19/20,37,54.1,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,854,23.08,250,6.76
3117,Pogoń Szczecin,23666,Ekstraklasa 19/20,19/20,37,53.1,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,789,21.32,313,8.46
3123,ŁKS Łódź,23666,Ekstraklasa 19/20,19/20,37,51.7,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,801,21.65,351,9.49
3111,Wisła Kraków,23666,Ekstraklasa 19/20,19/20,37,51.1,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,805,21.76,367,9.92
3113,Zagłębie Lubin,23666,Ekstraklasa 19/20,19/20,37,50.9,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,857,23.16,318,8.59
7691,Jagiellonia Białystok,23666,Ekstraklasa 19/20,19/20,37,50.3,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,792,21.41,299,8.08
4901,Cracovia,23666,Ekstraklasa 19/20,19/20,37,49.5,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,759,20.51,310,8.38
3108,Śląsk Wrocław,23666,Ekstraklasa 19/20,19/20,37,49.3,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,859,23.22,302,8.16
5065,MKS Korona Kielce,23666,Ekstraklasa 19/20,19/20,37,49.0,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,757,20.46,302,8.16
3122,Wisła Płock,23666,Ekstraklasa 19/20,19/20,37,48.8,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,854,23.08,319,8.62
7918,Piast Gliwice,23666,Ekstraklasa 19/20,19/20,37,48.7,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,800,21.62,330,8.92
7913,KS Lechia Gdańsk,23666,Ekstraklasa 19/20,19/20,37,48.7,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,736,19.89,377,10.19
35268,Raków Częstochowa,23666,Ekstraklasa 19/20,19/20,37,47.4,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,763,20.62,311,8.41
3110,Górnik Zabrze,23666,Ekstraklasa 19/20,19/20,37,45.8,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,779,21.05,365,9.86
5064,MZKS Arka Gdynia,23666,Ekstraklasa 19/20,19/20,37,45.7,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,772,20.86,382,10.32
3111,Wisła Kraków,17361,Ekstraklasa 18/19,18/19,37,53.6,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,774,20.92,397,10.73
3106,Legia Warszawa,17361,Ekstraklasa 18/19,18/19,37,53.3,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,860,23.24,296,8.00
3121,Lech Poznań,17361,Ekstraklasa 18/19,18/19,37,52.7,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,817,22.08,349,9.43
3117,Pogoń Szczecin,17361,Ekstraklasa 18/19,18/19,37,52.6,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,860,23.24,271,7.32
5065,MKS Korona Kielce,17361,Ekstraklasa 18/19,18/19,37,51.1,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,838,22.65,251,6.78
4901,Cracovia,17361,Ekstraklasa 18/19,18/19,37,50.7,0,0,0.0,0.0,,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,774,20.92,304,8.22
