team_id_1,team_id_2,team_1_name,team_2_name,total_matches,team_1_wins,draws,team_2_wins,team_1_goals,team_2_goals,team_1_avg_goals,team_2_avg_goals,last_meeting_date,last_5_results
7691,35329,Jagiellonia Białystok,Zawisza Bydgoszcz,4,2,2,0,5,2,1.25,0.50,2014-11-29,X (0-0) | 1 (3-1) | X (1-1) | 1 (1-0)
3119,7919,Polonia Warszawa,Podbeskidzie Bielsko-Biała,4,3,1,0,6,3,1.50,0.75,2013-05-10,1 (2-1) | 1 (1-0) | X (1-1) | 1 (2-1)
3123,3128,ŁKS Łódź,GKS Bełchatów,4,1,1,2,3,6,0.75,1.50,2012-05-03,X (1-1) | 2 (0-3) | 2 (0-2) | 1 (2-0)
3119,3123,Polonia Warszawa,ŁKS Łódź,4,3,0,1,7,4,1.75,1.00,2012-02-17,1 (2-0) | 1 (2-0) | 2 (1-3) | 1 (2-1)
3110,7692,Górnik Zabrze,Polonia Bytom,4,2,1,1,5,4,1.25,1.00,2011-05-13,1 (2-1) | X (1-1) | 1 (2-0) | 2 (0-2)
3113,7692,Zagłębie Lubin,Polonia Bytom,4,2,0,2,5,4,1.25,1.00,2011-04-02,1 (2-0) | 2 (0-2) | 2 (1-2) | 1 (2-0)
5065,7692,MKS Korona Kielce,Polonia Bytom,4,2,1,1,5,4,1.25,1.00,2011-03-12,X (3-3) | 1 (1-0) | 1 (1-0) | 2 (0-1)
3111,3114,Wisła Kraków,MKS Odra Wodzisław Śląski,4,3,1,0,9,3,2.25,0.75,2010-05-15,X (1-1) | 1 (3-1) | 1 (3-1) | 1 (2-0)
3108,3114,Śląsk Wrocław,MKS Odra Wodzisław Śląski,4,3,1,0,12,2,3.00,0.50,2010-05-11,1 (4-2) | 1 (4-0) | X (0-0) | 1 (4-0)
3114,5064,MKS Odra Wodzisław Śląski,MZKS Arka Gdynia,4,1,1,2,3,5,0.75,1.25,2010-05-01,1 (2-1) | 2 (0-2) | 2 (1-2) | X (0-0)
3114,4901,MKS Odra Wodzisław Śląski,Cracovia,4,2,1,1,3,2,0.75,0.50,2010-04-27,2 (0-1) | 1 (1-0) | 1 (2-1) | X (0-0)
3114,3119,MKS Odra Wodzisław Śląski,Polonia Warszawa,4,1,1,2,4,6,1.00,1.50,2010-04-24,1 (2-1) | 2 (1-2) | X (1-1) | 2 (0-2)
3105,3114,Ruch Chorzów,MKS Odra Wodzisław Śląski,4,2,0,2,6,7,1.50,1.75,2010-04-20,1 (3-2) | 1 (3-1) | 2 (0-1) | 2 (0-3)
3114,3128,MKS Odra Wodzisław Śląski,GKS Bełchatów,4,0,0,4,0,9,0.00,2.25,2010-04-01,2 (0-3) | 2 (0-1) | 2 (0-3) | 2 (0-2)
3114,3121,MKS Odra Wodzisław Śląski,Lech Poznań,4,0,1,3,1,5,0.25,1.25,2010-03-28,X (0-0) | 2 (0-1) | 2 (0-1) | 2 (1-3)
7692,7918,Polonia Bytom,Piast Gliwice,4,2,0,2,5,2,1.25,0.50,2010-03-21,2 (0-1) | 1 (4-0) | 1 (1-0) | 2 (0-1)
3114,7918,MKS Odra Wodzisław Śląski,Piast Gliwice,4,2,0,2,4,4,1.00,1.00,2010-03-12,1 (2-0) | 2 (1-2) | 2 (0-2) | 1 (1-0)
3106,3114,Legia Warszawa,MKS Odra Wodzisław Śląski,4,1,0,3,4,4,1.00,1.00,2010-03-07,2 (0-1) | 2 (0-1) | 1 (4-0) | 2 (0-2)
3114,7913,MKS Odra Wodzisław Śląski,KS Lechia Gdańsk,4,2,1,1,4,3,1.00,0.75,2010-02-26,X (0-0) | 1 (2-0) | 1 (1-0) | 2 (1-3)
3114,7692,MKS Odra Wodzisław Śląski,Polonia Bytom,4,1,2,1,6,4,1.50,1.00,2009-12-12,X (1-1) | 2 (0-1) | X (1-1) | 1 (4-1)
3114,7691,MKS Odra Wodzisław Śląski,Jagiellonia Białystok,4,1,2,1,6,6,1.50,1.50,2009-12-05,X (2-2) | 2 (1-2) | 1 (2-1) | X (1-1)
3106,7915,Legia Warszawa,Motor Lublin,3,1,2,0,9,6,3.00,2.00,2025-12-01,X (1-1) | X (3-3) | 1 (5-2)
3112,3117,GKS Katowice,Pogoń Szczecin,3,2,0,1,5,5,1.67,1.67,2025-11-29,1 (2-0) | 2 (0-4) | 1 (3-1)
4901,7915,Cracovia,Motor Lublin,3,2,0,1,8,4,2.67,1.33,2025-11-22,2 (1-2) | 1 (1-0) | 1 (6-2)
3112,7918,GKS Katowice,Piast Gliwice,3,0,2,1,3,5,1.00,1.67,2025-11-08,2 (1-3) | X (0-0) | X (2-2)
3121,7915,Lech Poznań,Motor Lublin,3,1,1,1,5,5,1.67,1.67,2025-11-02,X (2-2) | 1 (2-1) | 2 (1-2)
3112,5065,GKS Katowice,MKS Korona Kielce,3,1,0,2,3,4,1.00,1.33,2025-10-25,1 (1-0) | 2 (1-2) | 2 (1-2)
3115,7915,Widzew Łódź,Motor Lublin,3,1,0,2,5,8,1.67,2.67,2025-10-24,2 (0-3) | 2 (1-2) | 1 (4-3)
3112,7915,GKS Katowice,Motor Lublin,3,1,1,1,7,5,2.33,1.67,2025-10-17,1 (5-2) | 2 (2-3) | X (0-0)
3112,3121,GKS Katowice,Lech Poznań,3,0,1,2,2,5,0.67,1.67,2025-10-05,2 (0-1) | X (2-2) | 2 (0-2)
7295,7915,Radomiak Radom,Motor Lublin,3,0,1,2,4,6,1.33,2.00,2025-09-29,X (2-2) | 2 (2-3) | 2 (0-1)
3113,7915,Zagłębie Lubin,Motor Lublin,3,0,1,2,3,5,1.00,1.67,2025-09-21,X (2-2) | 2 (0-1) | 2 (1-2)
3112,4901,GKS Katowice,Cracovia,3,2,0,1,6,7,2.00,2.33,2025-09-19,2 (0-3) | 1 (2-1) | 1 (4-3)
3115,5064,Widzew Łódź,MZKS Arka Gdynia,3,1,2,0,3,1,1.00,0.33,2025-09-14,1 (2-0) | X (0-0) | X (1-1)
3112,7913,GKS Katowice,KS Lechia Gdańsk,3,2,0,1,5,4,1.67,1.33,2025-09-12,2 (0-2) | 1 (3-2) | 1 (2-0)
3110,7915,Górnik Zabrze,Motor Lublin,3,1,0,2,4,2,1.33,0.67,2025-08-30,2 (0-1) | 1 (4-0) | 2 (0-1)
5065,7915,MKS Korona Kielce,Motor Lublin,3,2,1,0,4,1,1.33,0.33,2025-08-23,1 (2-0) | 1 (1-0) | X (1-1)
3110,3112,Górnik Zabrze,GKS Katowice,3,2,0,1,7,2,2.33,0.67,2025-08-23,1 (3-0) | 2 (1-2) | 1 (3-0)
7295,36851,Radomiak Radom,Bruk-Bet Termalica Nieciecza,3,0,3,0,3,3,1.00,1.00,2025-08-22,X (1-1) | X (1-1) | X (1-1)
35268,36851,Raków Częstochowa,Bruk-Bet Termalica Nieciecza,3,3,0,0,9,4,3.00,1.33,2025-08-17,1 (3-2) | 1 (3-0) | 1 (3-2)
7915,7918,Motor Lublin,Piast Gliwice,3,1,1,1,4,6,1.33,2.00,2025-08-16,X (0-0) | 2 (1-4) | 1 (3-2)
3106,3112,Legia Warszawa,GKS Katowice,3,3,0,0,10,3,3.33,1.00,2025-08-10,1 (3-1) | 1 (3-1) | 1 (4-1)
3115,3122,Widzew Łódź,Wisła Płock,3,1,2,0,4,3,1.33,1.00,2025-08-09,X (1-1) | X (1-1) | 1 (2-1)
3112,3115,GKS Katowice,Widzew Łódź,3,0,1,2,2,6,0.67,2.00,2025-08-02,2 (0-3) | 2 (0-1) | X (2-2)
3112,3113,GKS Katowice,Zagłębie Lubin,3,1,1,1,3,3,1.00,1.00,2025-07-28,X (2-2) | 1 (1-0) | 2 (0-1)
3117,7915,Pogoń Szczecin,Motor Lublin,3,2,0,1,9,5,3.00,1.67,2025-07-26,1 (4-1) | 1 (3-0) | 2 (2-4)
3112,35268,GKS Katowice,Raków Częstochowa,3,1,0,2,2,3,0.67,1.00,2025-07-19,2 (0-1) | 1 (2-1) | 2 (0-1)
3115,38729,Widzew Łódź,Puszcza Niepołomice,3,1,0,2,2,3,0.67,1.00,2025-05-19,1 (2-0) | 2 (0-2) | 2 (0-1)
3110,38729,Górnik Zabrze,Puszcza Niepołomice,3,0,2,1,3,4,1.00,1.33,2025-02-02,X (1-1) | X (1-1) | 2 (1-2)
3122,3123,Wisła Płock,ŁKS Łódź,3,2,1,0,4,1,1.33,0.33,2020-06-27,1 (2-0) | X (0-0) | 1 (2-1)
3111,35330,Wisła Kraków,Miedź Legnica,3,1,0,2,6,8,2.00,2.67,2019-05-18,2 (4-5) | 2 (0-2) | 1 (2-1)
3122,7693,Wisła Płock,Zagłębie Sosnowiec,3,2,1,0,5,1,1.67,0.33,2019-05-18,X (0-0) | 1 (3-1) | 1 (2-0)
5065,7693,MKS Korona Kielce,Zagłębie Sosnowiec,3,2,0,1,8,7,2.67,2.33,2019-05-14,1 (4-2) | 2 (1-4) | 1 (3-1)
5064,7693,MZKS Arka Gdynia,Zagłębie Sosnowiec,3,1,1,1,6,5,2.00,1.67,2019-05-10,1 (2-0) | 2 (2-3) | X (2-2)
3108,7693,Śląsk Wrocław,Zagłębie Sosnowiec,3,2,1,0,9,5,3.00,1.67,2019-05-05,1 (4-2) | 1 (2-0) | X (3-3)
3110,7693,Górnik Zabrze,Zagłębie Sosnowiec,3,2,1,0,7,2,2.33,0.67,2019-04-29,1 (4-0) | 1 (2-1) | X (1-1)
5064,35330,MZKS Arka Gdynia,Miedź Legnica,3,2,1,0,7,1,2.33,0.33,2019-04-25,1 (2-0) | X (1-1) | 1 (4-0)
