team_id,team_name,season_id,season_name,season_year,last_5_results,points_last_5,wins_last_5,draws_last_5,losses_last_5,goals_for_last_5,goals_against_last_5,halftime_leading_count,halftime_leading_wins,halftime_leading_draws,halftime_leading_losses,halftime_leading_win_pct,conceded_first_count,points_after_conceding_first,points_pct_after_conceding_first
3105,Ruch Chorzów,52176,Ekstraklasa 23/24,23/24,WLDWD,8,2,2,1,9,5,6,4,1,1,66.7,25,28,37.3
3113,Zagłębie Lubin,52176,Ekstraklasa 23/24,23/24,LWDWD,8,2,2,1,12,7,13,5,5,3,38.5,23,19,27.5
5065,MKS Korona Kielce,52176,Ekstraklasa 23/24,23/24,DWLLW,7,2,1,2,6,6,8,5,1,2,62.5,26,20,25.6
38732,Stal Mielec,52176,Ekstraklasa 23/24,23/24,LLWWD,7,2,1,2,7,9,7,5,2,0,71.4,24,32,44.4
3106,Legia Warszawa,52176,Ekstraklasa 23/24,23/24,WDDDD,7,1,4,0,8,6,12,6,5,1,50.0,24,34,47.2
3121,Lech Poznań,52176,Ekstraklasa 23/24,23/24,DWDLL,5,1,2,2,4,7,13,8,4,1,61.5,21,30,47.6
35268,Raków Częstochowa,52176,Ekstraklasa 23/24,23/24,DLWLD,5,1,2,2,4,7,13,9,3,1,69.2,23,22,31.9
7922,Warta Poznań,52176,Ekstraklasa 23/24,23/24,LDLWL,4,1,1,3,2,8,10,6,2,2,60.0,24,27,37.5
7295,Radomiak Radom,52176,Ekstraklasa 23/24,23/24,DLDDD,4,0,4,1,7,11,8,4,4,0,50.0,26,22,28.2
3123,ŁKS Łódź,52176,Ekstraklasa 23/24,23/24,WLLDL,4,1,1,3,6,14,5,3,0,2,60.0,30,22,24.4
3110,Górnik Zabrze,52176,Ekstraklasa 23/24,23/24,LLLLW,3,1,0,4,6,9,14,8,3,3,57.1,22,26,39.4
3115,Widzew Łódź,52176,Ekstraklasa 23/24,23/24,DLDLD,3,0,3,2,6,8,8,5,2,1,62.5,25,34,45.3
3117,Pogoń Szczecin,42004,Ekstraklasa 22/23,22/23,WLWWW,12,4,0,1,10,5,11,8,2,1,72.7,25,37,49.3
3110,Górnik Zabrze,42004,Ekstraklasa 22/23,22/23,WWDWD,11,3,2,0,8,3,10,5,3,2,50.0,22,20,30.3
3113,Zagłębie Lubin,42004,Ekstraklasa 22/23,22/23,WWDDW,11,3,2,0,9,2,8,3,4,1,37.5,25,29,38.7
3108,Śląsk Wrocław,42004,Ekstraklasa 22/23,22/23,LWWWD,10,3,1,1,9,8,6,5,1,0,83.3,28,33,39.3
7918,Piast Gliwice,42004,Ekstraklasa 22/23,22/23,WWWDL,10,3,1,1,4,3,9,4,5,0,44.4,23,32,46.4
3121,Lech Poznań,42004,Ekstraklasa 22/23,22/23,WDDWD,9,2,3,0,10,1,12,8,4,0,66.7,17,29,56.9
3106,Legia Warszawa,42004,Ekstraklasa 22/23,22/23,WLWLW,9,3,0,2,11,5,14,6,5,3,42.9,21,24,38.1
38732,Stal Mielec,42004,Ekstraklasa 22/23,22/23,WLLWW,9,3,0,2,3,3,10,4,4,2,40.0,22,17,25.8
7913,KS Lechia Gdańsk,42004,Ekstraklasa 22/23,22/23,LWWDL,7,2,1,2,3,7,3,0,2,1,0.0,22,15,22.7
4901,Cracovia,42004,Ekstraklasa 22/23,22/23,WWDLL,7,2,1,2,5,6,9,7,2,0,77.8,22,20,30.3
7295,Radomiak Radom,42004,Ekstraklasa 22/23,22/23,LWDDD,6,1,3,1,6,7,9,4,4,1,44.4,24,25,34.7
35268,Raków Częstochowa,42004,Ekstraklasa 22/23,22/23,LDDLW,5,1,2,2,7,5,15,9,5,1,60.0,17,21,41.2
5065,MKS Korona Kielce,42004,Ekstraklasa 22/23,22/23,DDLWL,5,1,2,2,6,7,10,6,3,1,60.0,24,30,41.7
35330,Miedź Legnica,42004,Ekstraklasa 22/23,22/23,LLLDW,4,1,1,3,5,9,6,3,1,2,50.0,29,22,25.3
3115,Widzew Łódź,42004,Ekstraklasa 22/23,22/23,DLDDL,3,0,3,2,4,11,5,4,1,0,80.0,21,22,34.9
7691,Jagiellonia Białystok,42004,Ekstraklasa 22/23,22/23,LLLLW,3,1,0,4,6,10,9,6,1,2,66.7,28,44,52.4
7922,Warta Poznań,42004,Ekstraklasa 22/23,22/23,LLDLL,1,0,1,4,3,9,9,3,5,1,33.3,20,12,20.0
3122,Wisła Płock,42004,Ekstraklasa 22/23,22/23,LDLLL,1,0,1,4,2,10,9,3,3,3,33.3,27,24,29.6
7295,Radomiak Radom,37062,Ekstraklasa 21/22,21/22,WWDWD,11,3,2,0,6,10,12,6,4,2,50.0,25,31,41.3
